Title,Author,Genre,PublishedYear,ISBN
Quatermass and the Pit,Clark,Horror|Sci-Fi,2010,473-849-9414
My Fake  Fiance,Jacynth,Comedy|Romance,2006,388-508-8313
Less Than Zero,Ode,Drama,2000,582-972-8940
Ladybug Ladybug ,Lucias,Drama,2002,166-810-9177
Into the Mind,Charles,Documentary,2009,491-276-6449
"Grandmaster, The (Yi dai zong shi)",Lynnelle,Action|Drama|IMAX,1989,995-795-9948
Bedrooms & Hallways,Marmaduke,Comedy|Romance,1998,891-983-3896
Thawing Out (La fonte des neiges) ,Mozes,Comedy|Drama,1996,715-433-6876
"Feuer, Eis & Dosenbier",Pepita,Comedy,2010,355-943-3455
Kermit's Swamp Years,Nike,Children|Comedy|Fantasy,2013,884-159-3876
White Frog,Jennie,Drama,2006,935-192-9976
Spy(ies) (Espion(s)),Celesta,Drama|Romance|Thriller,2010,430-575-4906
"Silent House, The (La casa muda)",Shelden,Horror|Thriller,1991,383-284-7413
Black Cadillac,Helyn,Horror|Thriller,1987,248-908-9201
Night and Day (Bam gua nat),Tully,Drama,2004,803-444-9700
Hereafter,Gayle,Drama|Fantasy,1996,261-343-0548
Siddhartha,Florrie,Drama,2005,582-163-0232
"Answer Man, The (a.k.a. Arlen Faber)",Collette,Comedy|Romance,1999,626-161-7494
Angels Fall,Brittney,Drama|Romance|Thriller,2007,817-791-5794
The Emperor's Candlesticks,Pen,Drama|Romance,1986,310-800-5297
All the Mornings of the World (Tous les matins du monde),Charmian,Drama|Romance,2003,758-213-4674
Charlie Bartlett,Gwen,Comedy|Drama,1995,219-312-7785
Touchy Feely,Mersey,Drama,2012,495-688-2393
Hot Shots! Part Deux,Andreana,Action|Comedy|War,2008,186-807-1865
Gabriela,Yard,Comedy|Drama|Romance,2007,993-133-1467
Hana and Alice (Hana to Arisu),Tyson,Comedy|Drama,1987,405-925-1845
"Reflecting Skin, The",Alberto,Drama|Horror|Thriller,2012,626-155-1606
G Men,Verge,Crime|Drama,1993,393-940-1475
Link,Georgi,Horror|Thriller,1998,212-478-5118
Speedway Junky,Tasia,Drama,2006,993-923-9963
"Naked Man, The",Domenic,Drama,2008,578-176-8095
Deliver Us from Evil,Amii,Crime|Horror|Thriller,1992,232-356-9058
Twister,Lorne,Comedy,2008,227-368-6928
Better Than Sex,Kelvin,Comedy|Romance,2011,379-897-7908
Nativity 2: Danger in the Manger!,Elvyn,Children|Comedy,1999,711-656-1741
Resurrecting the Champ,Mateo,Drama,1992,704-248-2120
April Captains (Capitães de Abril),Glenn,Drama,1996,295-393-1015
Big Easy Express,Mikel,Documentary|Musical,2010,359-307-4669
Wildcats,Burch,Comedy,2004,215-830-6703
Love Life,Tiffany,Comedy|Romance,2007,584-915-3345
Fear No Evil,Candice,Horror,2012,414-548-4976
Johns,Karon,Drama,1996,120-547-5982
Deliverance,Gunter,Adventure|Drama|Thriller,1996,349-430-4361
Stepfather II,Olivero,Horror|Thriller,1992,639-844-8299
Vertical Features Remake,Debera,Documentary,1995,385-696-1819
"Night, The (Notte, La)",Rayner,Drama,1996,226-545-4058
Something New,Mabelle,Comedy|Drama|Romance,2005,305-469-6204
"Spirit of St. Louis, The",Lesya,Adventure|Drama,2003,729-817-3274
Sparkle,Zorana,Drama|Musical,2003,599-793-7022
Footprints on the Moon (Le orme) (Primal Impulse),Mercy,Mystery|Thriller,1987,261-510-3330
Captain Ron,Estel,Adventure|Comedy,2006,355-787-3282
Before Flying Back to Earth (Pries parskrendant i zeme),Dreddy,Documentary,1993,594-912-3944
Route Irish,Frank,Drama|Thriller,2012,600-434-9131
Mega Piranha,Beatrix,Action|Adventure|Horror|Sci-Fi,1999,514-349-5901
Millennium Mambo (Qian xi man po),Woody,Drama|Romance,2003,694-535-5491
One-Eyed Monster,Timi,Comedy|Horror|Sci-Fi,1999,636-998-9013
Hi Diddle Diddle,Brock,Comedy,2005,494-917-1366
Music From Another Room,Rhona,Drama|Romance,1999,110-867-8831
Cast a Giant Shadow,Orlando,Adventure|War,2008,704-411-2767
Hero,Roldan,Comedy|Drama,2008,771-691-5420
"Education of Little Tree, The",Levin,Drama,1992,343-258-2547
S.O.S. Coast Guard,Celina,Action|Adventure|Sci-Fi|Thriller,1992,912-334-1302
One Step Ahead of My Shadow,Issie,(no genres listed),1991,390-325-6015
"Key, The",Francene,Drama,2011,952-901-9764
Real Steel,Norina,Action|Drama|Sci-Fi|IMAX,2007,454-328-6006
Horse Feathers,Hulda,Comedy,1993,530-900-0682
Vice Squad,Bradley,Action|Thriller,2003,607-300-4009
S.W.A.T.,Brock,Action|Thriller,1986,380-899-1224
Oxy-Morons,Gill,Crime|Drama,1990,402-582-3416
Yuki & Nina,Boonie,Drama,2000,809-872-0898
Mrs. Parkington,Erma,Drama|Romance,2013,690-515-2940
"Third Man, The",Grove,Film-Noir|Mystery|Thriller,1997,506-626-3603
Deathtrap,Von,Comedy|Crime|Mystery|Thriller,1991,132-735-0941
Drummer-Crab (Le Crabe-Tambour),Kassia,Adventure|Drama|War,2007,308-566-3062
Listy do M.,Roma,Comedy|Romance,2001,101-132-9856
"Man Who Copied, The (Homem Que Copiava, O)",Delphine,Comedy|Crime|Drama|Romance,2002,145-576-6023
Massacre at Central High,Zonnya,Drama|Horror|Thriller,2011,786-227-2351
Charlie Chan at the Wax Museum,Haily,Comedy|Crime|Mystery|Thriller,2001,626-713-1843
"Niagara, Niagara",Giorgio,Drama,2009,558-342-6017
"Addiction, The",Marilin,Drama|Horror,2012,881-338-4783
Valhalla,Hashim,Adventure|Animation|Children|Fantasy,2002,171-938-5510
Subject Two,Rozamond,Drama|Thriller,1994,623-335-8905
Babylon 5: A Call to Arms,Sigismondo,Adventure|Sci-Fi,2008,795-718-8250
"Year My Parents Went on Vacation, The (O Ano em Que Meus Pais Saíram de Férias)",Joanie,Drama,2010,384-242-5536
He Who Dares,Ax,Action,1996,608-980-2120
"Yellow Handkerchief, The",Lorette,Drama|Romance,2007,154-552-3813
"Rock, Paper, Scissors: The Way of the Tosser",Myra,Comedy,1984,873-266-6001
Dhoom,Danya,Action|Crime|Musical|Romance,2000,572-222-2494
Goodbye First Love,Thatch,Drama|Romance,2007,490-540-8018
Sinbad: The Fifth Voyage,Anton,Action|Adventure|Fantasy,2008,778-584-4025
Campus Radio,Raimundo,Comedy|Drama,1991,408-537-1696
Videocracy (Videocracy - Basta apparire),Dianna,Documentary,1996,781-836-5207
Too Many Cooks,Gerda,Comedy,1970,766-119-5022
588 Rue Paradis (Mother),Filbert,Drama,2006,324-578-0770
Tootsie,Inigo,Comedy|Romance,2001,872-944-5881
"Crying Game, The",Leora,Drama|Romance|Thriller,1999,303-698-0447
Wend Kuuni (a.k.a. God's Gift),Rhett,Drama,2005,129-886-6792
"Lift, De",Adara,Horror|Thriller,2005,904-568-8598
"Last Casino, The",Lyman,Comedy|Drama,2000,943-954-8880
Podwórka,Nils,Documentary,2001,120-774-2353
Root of All Evil?,Norby,Documentary,2010,552-602-0669
Miami Connection,Turner,Action|Crime,2007,687-144-1187
Hellraiser,Martie,Horror,1985,632-988-9127
"Dragon Missile, The (Fei long zhan)",Berti,Action,1966,844-346-4378
Rob Roy,Earl,Action|Drama|Romance|War,2009,399-222-6598
Survival of the Dead,Marcus,Horror,1992,518-390-7790
First Kid,Tybi,Children|Comedy,2010,625-526-2232
"Angel Named Billy, An",Lion,Drama,1995,849-773-0612
Celtic Pride,Clo,Comedy,2009,548-481-7539
Angels of the Universe (Englar alheimsins),Neila,Drama,2004,434-285-6358
Loggerheads,Kirk,Drama,2001,159-985-2507
Carry on Screaming!,Monika,Comedy|Horror,2010,576-496-1770
The Amazing Screw-On Head,Jilly,Action|Adventure|Animation|Comedy|Sci-Fi,1970,450-708-6528
"Door in the Floor, The",Alexandre,Drama,2011,608-238-3335
King's Ransom,Kevon,Comedy|Crime,1988,892-314-7990
Dementia 13,Harris,Horror|Thriller,2009,460-867-4614
Ghost Town,Alano,Comedy|Fantasy|Romance,1999,793-646-6856
Great Balls of Fire!,Pascale,Drama,1983,349-786-3664
Captain Phillips,Christabella,Adventure|Drama|Thriller|IMAX,1995,964-744-9207
Prom Night in Mississippi,Karine,Documentary,2006,242-261-7033
Meilleur espoir féminin,Barris,(no genres listed),1995,198-123-9460
Mr. Wu,Peterus,Drama,2009,230-784-1629
La Putain du roi,Whitney,Drama|Romance,2007,678-613-3062
Goodbye Lover,Goober,Comedy|Crime|Thriller,1998,835-306-0941
Allotment Wives,Harald,Crime|Drama|Film-Noir,2007,388-282-6922
Lucky,Leanor,Documentary,2011,566-964-5187
"Girl, The",Somerset,Drama,1996,336-654-8293
Yeh Jawaani Hai Deewani,Cinda,Comedy|Drama|Musical|Romance,2002,896-821-2925
Another Year,Stanly,Drama,1997,995-788-9292
"Swindle, The (Bidone, Il)",Aurel,Drama,1991,824-785-4243
M. Butterfly,Selle,Drama|Romance,2004,651-935-0879
Pride & Prejudice,Delcine,Drama|Romance,1984,901-668-4595
La Putain du roi,Tommie,Drama|Romance,2002,215-458-5718
Kids World,Ozzy,Adventure|Children|Comedy,1996,351-366-1277
Beer for My Horses,Daffy,Action|Comedy,2010,251-593-3637
Infection (Kansen),Thurstan,Drama|Horror,1989,519-519-7918
"Juror, The",Mervin,Drama|Thriller,2007,649-983-2726
"Alamo, The",Stacee,Drama|War|Western,1990,541-518-1620
Streets of Fire,Gal,Action|Romance,1993,738-669-9290
Speed Racer,Margery,Action|Children|Sci-Fi|IMAX,2004,591-534-9666
One False Move,Forrest,Crime|Drama|Film-Noir|Thriller,2001,433-908-4230
The Gamers: Hands of Fate,Andree,Comedy|Fantasy|Romance,2002,166-977-8714
Shaun of the Dead,Prudy,Comedy|Horror,2009,229-446-5236
W.R.: Mysteries of the Organism,Tina,Comedy|Documentary,1996,412-565-0849
S.W.A.T.: Firefight,Rabi,Action|Crime|Thriller,1988,843-768-6801
Fire with Fire,Jannelle,Action|Crime|Drama,1988,191-387-9931
Pain & Gain,Julianna,Action|Comedy|Crime,1995,727-446-9143
Rich in Love,Joellyn,Drama,2004,989-502-7931
Deep Water,Everett,Documentary,2001,762-853-9499
Mike Birbiglia: What I Should Have Said Was Nothing,Allayne,Comedy,2009,486-245-7921
Four Sons,Ansel,Drama|War,2011,231-370-5427
Vengeance is Mine (Fukushu suruwa wareniari),Jolynn,Crime|Drama,2011,535-311-5263
"Princess of Montpensier, The (La princesse de Montpensier)",Amber,Action|Drama|Romance,2006,655-398-7576
Elena Undone,Blaine,Drama|Romance,1992,558-217-2000
Fans,Giles,Comedy,2004,142-752-1998
Reach the Rock,Gillian,Comedy|Drama,2004,202-668-2325
"Dead Pool, The",Berty,Action|Crime|Thriller,2007,903-540-4892
Double Play: James Benning and Richard Linklater,Sisile,Documentary,2007,394-860-0387
Glory to the Filmmaker! (Kantoku · Banzai!),Emmalee,Comedy|Drama,1993,989-321-2595
High Crimes,Odille,Thriller,1963,865-916-4120
"Last Rites of Joe May, The",Rodie,Drama,2011,796-707-3046
First Strike,Thatcher,Documentary,1998,220-937-1923
"Church, The (Chiesa, La)",Lenard,Drama|Fantasy|Horror,2007,419-566-7736
Miracle at St. Anna,Yard,Drama|Mystery|War,2001,874-758-9681
24 Exposures,Betsey,Crime|Drama|Thriller,2006,940-140-6664
"Downfall (Untergang, Der)",Cynthea,Drama|War,2008,202-683-1735
99 Homes,Merrill,Drama,1998,545-513-0478
Informant,Roseline,Documentary,1994,971-600-4952
At First Sight,Jeri,Drama,1986,418-279-0612
Peter Ibbetson,Andreas,Drama|Fantasy|Romance,1992,830-113-9243
Secret Society,Gilbertine,Comedy,1984,558-839-1480
"Aviator's Wife, The (La femme de l'aviateur)",Fayette,Drama,2008,530-946-0577
Teen Spirit,Kaja,Comedy|Drama|Fantasy,1994,186-969-1682
Partners,Latashia,Comedy,2001,138-481-2731
My Own Man,Jemimah,(no genres listed),1965,298-572-0607
"Car 54, Where Are You?",Sigfried,Comedy,1990,624-219-1555
Island of Lost Souls,Salomone,Adventure|Horror|Romance|Sci-Fi,2012,701-111-0993
Ghost Ship,Wilton,Horror,1992,266-666-1064
"Tale from the Past, A (Përralle Nga e Kaluara)",Willy,Comedy,1998,786-218-9468
Made in America,Phebe,Comedy,1989,227-278-5586
Gloria,Sheila,Comedy|Drama,1995,646-724-7191
"Bad News Bears in Breaking Training, The",Christin,Comedy,2011,112-875-5162
Brief Interviews with Hideous Men,Bernardo,Comedy|Drama,1987,402-740-9204
Mothlight,Reese,Documentary,2000,159-459-1069
Ellen DeGeneres: The Beginning,Lorain,Comedy,2005,811-411-4545
Running Out of Time (Am zin),Vaughan,Action|Crime|Drama|Thriller,1992,342-992-4738
It's in the Water,Nell,Comedy,2006,110-456-2673
Living on One Dollar,Alia,Adventure|Documentary|Drama,2009,995-177-5947
Hostile Witness,Haily,Drama,1999,299-353-6246
Bad Men of Missouri,Ragnar,Action|Romance|Western,1964,598-548-9361
Character (Karakter),Fran,Drama,1993,274-970-6665
"Bridge, The (Brücke, Die)",Darcee,Drama|War,2009,730-243-8767
Winter War (Talvisota),Ingrid,Drama|War,1999,529-281-7846
Descendant of the Sun (Ri jie),Shaina,Action|Adventure|Fantasy|Sci-Fi,1988,909-943-1855
Cube,Hildagarde,Horror|Mystery|Sci-Fi|Thriller,2004,819-584-4056
Prime Suspect 3,Eula,Crime|Drama|Mystery,1999,449-800-7003
Police Academy 6: City Under Siege,Danila,Comedy|Crime,1979,393-283-2894
P.S. Your Cat is Dead,Rafaello,Comedy,2012,268-335-9099
"Hunter, The",Anatol,Thriller,1999,126-890-0714
Then She Found Me,Prinz,Comedy|Drama|Romance,2001,122-869-5973
G.I. Joe: Retaliation,Konstantine,Action|Adventure|Sci-Fi|Thriller|IMAX,2008,219-914-3596
Raise Your Voice,Chance,Romance,1994,218-630-3899
"Hunters, The (Jägarna)",Jenna,Crime|Thriller,1981,728-667-1562
Mafioso,Harmon,Comedy|Crime|Drama,1994,722-304-5795
"Bonaerense, El",Erasmus,Action|Drama,2000,706-464-4480
Heaven Can Wait,Serge,Comedy|Fantasy|Romance,1990,295-559-8889
On the Other Side of the Tracks (De l'autre côté du périph),Thomasin,Action|Comedy|Crime,2001,430-942-6625
The Losers,Dinnie,Comedy|Drama,1987,435-609-8948
Addicted to Love,Concettina,Comedy|Romance,1990,477-126-0156
Tied,Claiborne,Drama,1963,952-609-4145
Mifune's Last Song (Mifunes sidste sang),Aundrea,Comedy|Drama|Romance,1991,880-726-4044
Girls on the Road (a.k.a. Hot Summer Week),Cordula,Comedy|Drama|Thriller,2006,143-142-1657
Planet Terror,Skelly,Action|Horror|Sci-Fi,2004,785-764-2495
Lucky Lady,Darbee,Comedy|Drama,2005,440-714-9715
Romantics Anonymous (Les émotifs anonymes),Margarita,Comedy|Romance,1997,574-628-6958
Jin Roh: The Wolf Brigade (Jin-Rô),Arel,Animation|Fantasy|Thriller,2006,646-582-5286
Tortilla Flat,Bari,Comedy|Drama|Romance,2006,549-988-2571
Lady on a Train,Baily,Comedy|Crime|Film-Noir|Mystery|Romance|Thriller,2003,624-709-9150
"Pride of the Yankees, The",Vida,Drama,2001,348-615-5648
"Pain in the Ass, A (L'emmerdeur)",Valdemar,Comedy,1993,103-955-0564
Duma,Vin,Adventure|Drama,2012,874-860-7174
At Play in the Fields of the Lord,Cilka,Drama,1992,546-649-7609
"Citizen, The",Katee,Drama,2001,294-537-7414
Open Season,Kenn,Adventure|Animation|Children|Comedy|IMAX,1989,420-533-9495
Susannah of the Mounties,Zacharia,Drama,2006,181-442-4149
"Visit, The",Joellyn,Drama,2001,998-376-1693
Charlie Chan in Panama,Margareta,Adventure|Comedy|Crime|Drama|Mystery|Thriller,1997,478-226-7993
How I Killed My Father (a.k.a. My Father and I) (Comment j'ai tué mon Père),Christian,Drama,2007,210-933-8013
Lilith,Belia,Drama,1990,825-432-1823
Easy Money,Arda,Comedy,2007,443-233-6938
Kummeli Goldrush (Kummeli kultakuume),Pavla,Comedy,1996,338-416-2950
"Designated Mourner, The",Larissa,Drama,2006,728-351-3199
You Light Up My Life,Dyan,Drama|Romance,1997,148-482-0692
State of Play,Dieter,Crime|Drama|Thriller,1995,344-828-2078
Monster,Mic,Crime|Drama,2005,727-428-3161
"Cross of Lorraine, The",Irvine,Drama|War,1993,186-496-1845
Zazie dans le métro,Gerry,Comedy,2006,219-123-8315
Charleston,Blondelle,Comedy,1997,973-227-9748
Carmina and Amen (Carmina y amén),Helge,Comedy|Drama,2012,290-485-6319
"Honey, We Shrunk Ourselves",Ingrid,Action|Adventure|Children|Comedy|Sci-Fi,2007,553-517-7911
Enthusiasm (Entuziazm: Simfoniya Donbassa),Merridie,Documentary,1993,403-373-8784
"Anniversary, The",Kathryne,Comedy|Drama|Horror|Thriller,1992,767-654-7755
"Cure for Love, A (Lekarstwo na milosc)",Christina,Comedy|Crime|Romance,1995,736-577-1094
My Joy (Schastye moe),Suzanna,Drama,1999,279-310-4933
Magic Camp,Carita,Children|Documentary,2005,248-255-1267
Small Faces,Lisetta,Drama,2003,146-460-5447
"Grace Lee Project, The",Archer,Documentary,2000,572-542-5710
Gregory's Girl,Maurise,Comedy|Romance,2010,203-247-6871
Death Wish 3,Sollie,Action|Drama,2000,955-252-9499
Brigadoon,Calla,Fantasy|Musical|Romance,2009,732-105-4468
Gable: The King Remembered,Pete,Documentary,1998,509-636-0034
Casshern,Ruthe,Action|Drama|Fantasy|Sci-Fi,2001,746-524-9602
Stage Beauty,Trumann,Drama,1999,156-789-6438
Girls Will Be Girls,Babita,Comedy,2004,677-319-3152
Pearl Jam: Immagine in Cornice - Live in Italy 2006,Maryjane,Documentary|Musical,2006,750-270-3808
Funny Games,Waverly,Drama|Horror|Thriller,1993,793-767-7518
Murder by Proxy: How America Went Postal,Sibelle,Documentary,2003,694-688-7790
"Bûche, La",Corinne,Comedy|Drama,2010,306-154-8514
"Simpsons: The Longest Daycare, The",Claudelle,Animation|Comedy,2003,494-791-0655
Blind,Blinnie,Drama,2013,356-423-7839
Double Dare,Marigold,Documentary,1986,939-776-8654
"Birds, The",Tallulah,Horror|Thriller,2003,592-245-4837
